stream_name,stream,district_name,district,o_zscore,zscore,course_name,course,university_name,university
Biological Science,1,Colombo,1,0.5565,5565,Agriculture ,1,University of Jaffna,1
Biological Science,1,Colombo,1,0.5619,5619,Agriculture ,1,"Eastern University ,Sri Lanka",2
Biological Science,1,Colombo,1,0.6095,6095,Agriculture ,1,Rajarata University of Sri Lanka,3
Biological Science,1,Colombo,1,0.7397,7397,Agriculture ,1,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Colombo,1,0.6247,6247,Agriculture ,1,Wayamba University of Sri Lanka,5
Biological Science,1,Colombo,1,0.852,8520,Applied Science (Bio. Sci.),2,Rajarata University of Sri Lanka,3
Biological Science,1,Colombo,1,0.9558,9558,Applied Science (Bio. Sci.),2,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Colombo,1,0.7172,7172,Applied Science (Bio. Sci.),2,"University of Vavuniya , Sri Lanka",6
Biological Science,1,Colombo,1,1.6014,16014,Biological Science,3,University of Colombo,7
Biological Science,1,Colombo,1,1.4529,14529,Biological Science,3,University of Peradeniya,8
Biological Science,1,Colombo,1,1.3382,13382,Biological Science,3,University of Sri Jeyawardanapura,9
Biological Science,1,Colombo,1,1.2516,12516,Biological Science,3,University of Kelaniya,10
Biological Science,1,Colombo,1,1.0364,10364,Biological Science,3,University of Jaffna,1
Biological Science,1,Colombo,1,1.1122,11122,Biological Science,3,University of Ruhuna,11
Biological Science,1,Colombo,1,1.031,10310,Biological Science,3,"Eastern University ,Sri Lanka",2
Biological Science,1,Colombo,1,1.0762,10762,Biological Science,3,"South-Eastern University, Sri Lanka",12
Biological Science,1,Colombo,1,1.5913,15913,Food Science & Technology,4,University of Peradeniya,8
Biological Science,1,Colombo,1,1.5482,15482,Food Science & Technology,4,University of Sri Jeyawardanapura,9
Biological Science,1,Colombo,1,1.4507,14507,Food Science & Technology,4,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Colombo,1,1.1348,11348,Food Science & Nutrition,5,Wayamba University of Sri Lanka,5
Biological Science,1,Colombo,1,1.2522,12522,Agricultural Technology & Management,6,University of Peradeniya,8
Biological Science,1,Colombo,1,1.7966,17966,BioChemistry & Molecular Biology,7,University of Colombo,7
Biological Science,1,Colombo,1,1.7397,17397,Veterinary Science,8,University of Peradeniya,8
Biological Science,1,Colombo,1,1.8534,18534,Dental Surgery,9,University of Peradeniya,8
Biological Science,1,Colombo,1,1.859,18590,Dental Surgery,9,University of Sri Jeyawardanapura,9
Biological Science,1,Colombo,1,2.3291,23291,Medicine,10,University of Colombo,7
Biological Science,1,Colombo,1,2.1807,21807,Medicine,10,University of Peradeniya,8
Biological Science,1,Colombo,1,2.1282,21282,Medicine,10,University of Sri Jeyawardanapura,9
Biological Science,1,Colombo,1,2.0511,20511,Medicine,10,University of Kelaniya,10
Biological Science,1,Colombo,1,1.9284,19284,Medicine,10,University of Jaffna,1
Biological Science,1,Colombo,1,1.9632,19632,Medicine,10,University of Ruhuna,11
Biological Science,1,Colombo,1,1.922,19220,Medicine,10,University of Moratuwa,13
Biological Science,1,Colombo,1,1.9192,19192,Medicine,10,"Eastern University ,Sri Lanka",2
Biological Science,1,Colombo,1,1.933,19330,Medicine,10,Rajarata University of Sri Lanka,3
Biological Science,1,Colombo,1,1.9256,19256,Medicine,10,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Colombo,1,1.9313,19313,Medicine,10,Wayamba University of Sri Lanka,5
Biological Science,1,Gampaha,2,0.5238,5238,Agriculture ,1,University of Jaffna,1
Biological Science,1,Gampaha,2,0.4569,4569,Agriculture ,1,"Eastern University ,Sri Lanka",2
